id,author,quotestext
229,Marcus Aurelius,"If it is not right do not do it; if it is not true do not say it."
230,Mahatma Gandhi,Strength does not come from physical capacity. It comes from an indomitable will.
232,Richard Bach,"Argue for your limitations, and sure enough theyre yours."
233,Michael Korda,"To succeed, we must first believe that we can."
234,Lao Tzu,"When you realize there is nothing lacking, the whole world belongs to you."
235,Jacob Braude,Consider how hard it is to change yourself and you'll understand what little chance you have in trying to change others.
236,Buddha,Your work is to discover your work and then with all your heart to give yourself to it.
237,Bernice Reagon,"Life's challenges are not supposed to paralyze you, they're supposed to help you discover who you are."
238,Og Mandino,"Always do your best. What you plant now, you will harvest later."
239,Paulo Coelho,Write your plans in pencil and give God the eraser.
240,unknown,"Giving up doesn't always mean you are weak; sometimes it means that you are strong enough to let go."
241,Wayne Dyer,Our intention creates our reality.
242,Elizabeth Browning,"Whoso loves, believes the impossible."
243,Charlotte Gilman,"Let us revere, let us worship, but erect and open-eyed, the highest, not the lowest; the future, not the past!"
245,Jessamyn West,"It is very easy to forgive others their mistakes; it takes more grit to forgive them for having witnessed your own."
